Eval_acc,Eval_loss,Test_acc,Test_loss,Train_loss,epoch,step,training_epoch_average
,,,,0.71021568775177,0,49,
,,,,0.4352995455265045,0,99,
,,,,0.2935381829738617,0,149,
,,,,0.41652771830558777,0,199,
,,,,0.44185492396354675,0,249,
,,,,0.3021397590637207,0,299,
,,,,0.19129295647144318,0,349,
,,,,0.17586678266525269,0,399,
,,,,0.16706706583499908,0,449,
,,,,0.204605832695961,0,499,
,,,,0.34063929319381714,0,549,
,,,,0.2782003879547119,0,599,
,,,,0.17064087092876434,0,649,
,,,,0.21886742115020752,0,699,
,,,,0.09490253776311874,0,749,
,,,,0.28877291083335876,0,799,
,,,,0.09022115916013718,0,849,
0.8640124201774597,0.19558991491794586,,,,0,859,
,,,,,0,859,0.3066645562648773
,,,,0.09477102011442184,1,899,
,,,,0.2665042281150818,1,949,
,,,,0.21233925223350525,1,999,
,,,,0.251370370388031,1,1049,
,,,,0.06227680295705795,1,1099,
,,,,0.08124781399965286,1,1149,
,,,,0.38815805315971375,1,1199,
,,,,0.1097949668765068,1,1249,
,,,,0.34869250655174255,1,1299,
,,,,0.17233765125274658,1,1349,
,,,,0.190080463886261,1,1399,
,,,,0.12521344423294067,1,1449,
,,,,0.33729782700538635,1,1499,
,,,,0.24606281518936157,1,1549,
,,,,0.2056485265493393,1,1599,
,,,,0.16991420090198517,1,1649,
,,,,0.06959212571382523,1,1699,
0.9295318126678467,0.1673865020275116,,,,1,1719,
,,,,,1,1719,0.17340955138206482
,,,,0.12817540764808655,2,1749,
,,,,0.23462750017642975,2,1799,
,,,,0.06834670156240463,2,1849,
,,,,0.07539089769124985,2,1899,
,,,,0.04113928973674774,2,1949,
,,,,0.15935148298740387,2,1999,
,,,,0.1226777583360672,2,2049,
,,,,0.13509626686573029,2,2099,
,,,,0.17834961414337158,2,2149,
,,,,0.09604460000991821,2,2199,
,,,,0.012992223724722862,2,2249,
,,,,0.06372275203466415,2,2299,
,,,,0.21926249563694,2,2349,
,,,,0.15221759676933289,2,2399,
,,,,0.12563258409500122,2,2449,
,,,,0.25351306796073914,2,2499,
,,,,0.17477110028266907,2,2549,
0.940087080001831,0.15482798218727112,,,,2,2579,
,,,,,2,2579,0.1466009020805359
,,,,0.11863534152507782,3,2599,
,,,,0.06572026014328003,3,2649,
,,,,0.15433937311172485,3,2699,
,,,,0.11501962691545486,3,2749,
,,,,0.039767343550920486,3,2799,
,,,,0.10848143696784973,3,2849,
,,,,0.12358325719833374,3,2899,
,,,,0.17030543088912964,3,2949,
,,,,0.14430467784404755,3,2999,
,,,,0.11674899607896805,3,3049,
,,,,0.06364347785711288,3,3099,
,,,,0.09642109274864197,3,3149,
,,,,0.23166751861572266,3,3199,
,,,,0.1160072609782219,3,3249,
,,,,0.01465732790529728,3,3299,
,,,,0.08561498671770096,3,3349,
,,,,0.06100800633430481,3,3399,
0.9450910091400146,0.1607135534286499,,,,3,3439,
,,,,,3,3439,0.1268247663974762
,,,,0.16806036233901978,4,3449,
,,,,0.09561490267515182,4,3499,
,,,,0.12314334511756897,4,3549,
,,,,0.07053827494382858,4,3599,
,,,,0.0975717157125473,4,3649,
,,,,0.08682963997125626,4,3699,
,,,,0.13042908906936646,4,3749,
,,,,0.14435192942619324,4,3799,
,,,,0.0672372505068779,4,3849,
,,,,0.04519961401820183,4,3899,
,,,,0.0740928053855896,4,3949,
,,,,0.1568162441253662,4,3999,
,,,,0.049637630581855774,4,4049,
,,,,0.10740944743156433,4,4099,
,,,,0.0096309008076787,4,4149,
,,,,0.25364845991134644,4,4199,
,,,,0.013487769290804863,4,4249,
,,,,0.016117749735713005,4,4299,
0.9470669627189636,0.17037367820739746,,,,4,4299,
,,,,,4,4299,0.12053079903125763
,,,,0.13649655878543854,5,4349,
,,,,0.11217329651117325,5,4399,
,,,,0.07160332053899765,5,4449,
,,,,0.0814434066414833,5,4499,
,,,,0.04417575150728226,5,4549,
,,,,0.12906043231487274,5,4599,
,,,,0.1116047352552414,5,4649,
,,,,0.017800820991396904,5,4699,
,,,,0.053629543632268906,5,4749,
,,,,0.2698126435279846,5,4799,
,,,,0.15340852737426758,5,4849,
,,,,0.10266538709402084,5,4899,
,,,,0.07204576581716537,5,4949,
,,,,0.08074431121349335,5,4999,
,,,,0.007141999434679747,5,5049,
,,,,0.08301602303981781,5,5099,
,,,,0.028337161988019943,5,5149,
0.9483311772346497,0.18798191845417023,,,,5,5159,
,,,,,5,5159,0.11300738900899887
,,,,0.04150453582406044,6,5199,
,,,,0.3155485689640045,6,5249,
,,,,0.028226032853126526,6,5299,
,,,,0.09463626146316528,6,5349,
,,,,0.05599922686815262,6,5399,
